jobName	bossName	cityName	brandName	job_url	if_contact	if_continue_contact	dialogue_content	boss_content	number
金融贷款专员	闫女士	成都	成都易捷新业商务...	https://www.zhipin.com/job_detail/cad2a4dd8f265cb81HN82tm0GFBW.html?lid=8Z9W4Yzxbs4.search.521&securityId=lK9w8UhoLE2e--T1Z60twRHi9m6HZIuV9FZDuYj6X6hc6PaGiywQHmKu3Dtz0KKXnKwdLjyNBH-A1OYjV6Svf5rQNBQ4XiZ1HSurA9ucV0Ai7agE6KQt87LBOTESjstPXsu8Fnkll_ZkCg~~	1.0	0.0			
双休贷款销售+50%提成	毛女士	成都	四川如麦科技有限公司	https://www.zhipin.com/job_detail/81c08992f29afb1a1HF72ti5GFNR.html?lid=8Z9W4Yzxbs4.search.531&securityId=_VV0Ii9qawHgR-E1VObzPgGaKY3k-LTqALGEPR2oBDLOokbX-ZcCl7WnVdLkUPoWDF4rBsmLBJuH8Bz_-OPInsLDjb9OsEQtgZlKfJF6wikJxBCTsouWlQIyCIbI3iPCLLFs5A2HjqrA0wKMfUxLv7vseEqJ16gdCzoIyNbI-jGvcW6AUQ~~	1.0	1.0	你好，我们正在诚聘双休贷款销售+50%提成，有兴趣聊聊吗\n你与该职位竞争者PK情况\n共人投递，你超过竞争者\n优秀竞争者会，建议你\n查看详细分析\n09-12 16:54\n我们这边提成是25个点起提，资源也很好，不打公海白名单，产品也多，容易开单,您看有时间聊聊吗？\n昨天 15:12\n我们公司是19年成立的，目前公司一共有80个人左右，我们主营的业务是金融行业银行贷款产品，包括信贷，抵押，个贷，企业贷都可以做，可以做全川的，包括重庆的抵押也可以，川内产品比较多渠道也比较多，所以开单的话相对于简单一些。\n12:28\n你好~\n附件简历请求已发送\n李舸.pdf\n点击预览附件简历\n可以看看我的简历哈，合适的话电话沟通\n对方已同意，您的附件简历已发送给对方\n对方已查看您的附件简历\n请求交换电话已发送\n15228580309\n毛女士的手机号\n15228580309\n复制手机号	你好，我们正在诚聘双休贷款销售+50%提成，有兴趣聊聊吗\n我们这边提成是25个点起提，资源也很好，不打公海白名单，产品也多，容易开单,您看有时间聊聊吗？\n我们公司是19年成立的，目前公司一共有80个人左右，我们主营的业务是金融行业银行贷款产品，包括信贷，抵押，个贷，企业贷都可以做，可以做全川的，包括重庆的抵押也可以，川内产品比较多渠道也比较多，所以开单的话相对于简单一些。\n	15228580309.0
银行贷款经理(双休+金融)	杨甜	成都	微合金融	https://www.zhipin.com/job_detail/908b7590509e26631HJz3Ni4FFZR.html?lid=8Z9W4Yzxbs4.search.541&securityId=a1jr8Czqz9zm0-21jc73U73vePbFIR7x-pDHtvf7_b0GHJlxzWX1vj6bjgCduVKfLusZzuHcRleBVT5Ghlkt0f_GR10aUEIW_tBHdp3FY8lQjxMUgzbgKyCXKjUhdLuI_VW8-vfBc9i9	1.0	1.0	您好，可以聊聊吗？您这个职位我很有兴趣，希望进一步了解\n你与该职位竞争者PK情况\n共人投递，你超过竞争者\n优秀竞争者会，建议你\n查看详细分析\n您好\n我们主要是做企贷和房贷的，有兴趣吗\n您是否接受此工作地点?\n成都IFS二号办公楼(成都锦江区成都IFS二号办公楼3712)\n暂不考虑可以接受\n09-11 15:38\n工作地点我可以接受。\n请求交换电话已发送\n13699066178\n杨甜的手机号\n13699066178\n复制手机号\n底薪4000+提成（试用期通提18%，转正后通提19-35%，1.5万回款转正）+额外年终奖（当年业绩3-5%），转正后购买社保\n上班时间：9:00-18:00（午休1.5小时）周末双休，节假日全休，超长带薪年假\n这是我们的薪酬和上班时间 你看下可以接受不	您好\n我们主要是做企贷和房贷的，有兴趣吗\n底薪4000+提成（试用期通提18%，转正后通提19-35%，1.5万回款转正）+额外年终奖（当年业绩3-5%），转正后购买社保\n上班时间：9:00-18:00（午休1.5小时）周末双休，节假日全休，超长带薪年假\n这是我们的薪酬和上班时间 你看下可以接受不\n	13699066178.0
金融贷款顾问	江女士	成都	博睿远见	https://www.zhipin.com/job_detail/396e450dc149becc1HN63960EVRU.html?lid=8Z9W4Yzxbs4.search.551&securityId=H4YQ-2_D8M5Eq-L1dvI35JosyowhxtlWA48CX5erThmRCH5R2OdR-bfq2xJUMTrsz4rpx66cYn5j90kr7av25ClM-mX-Hz8OV0mkLiXuleVG2YbrPfDc4YktsfvsUdUBWh4XKmiTCFkjg4tzmuAb6MFvZNo8aEyhCSYgww3xKStvfI3hhQ~~	1.0	1.0			
无责底薪6K 银行贷款专员	张女士	成都	鑫达瑞瑞达	https://www.zhipin.com/job_detail/fb4d36232a7732b81HN839i-FlVR.html?lid=8Z9W4Yzxbs4.search.561&securityId=edZo9n50MX7EY-T1VQd0BGnquntsEvvqOcNbEwJ6ZSu25nPdlWFDcFrVKL1HRtNzmV9xvJEwt1JDLJcxFlFEBpfArGnvuoJhJArRg7CzWgpRc2KElNTFODjn5CQETfs2mG26iWl_2op38gvB7kiYJi7h3BTt4HJCa-33lvagUWHbTXyj	1.0	1.0	你与该职位竞争者PK情况\n共人投递，你超过竞争者\n优秀竞争者会，建议你\n查看详细分析\n您好，可以聊聊吗？您这个职位我很有兴趣，希望进一步了解\n你好\n您是否接受此工作地点?\n明宇金融广场(成都锦江区明宇金融广场13层/1306)\n暂不考虑可以接受\n我想要一份您的附件简历，您是否同意\n拒绝同意\n确定向 Boss 发送简历吗？\nBoss确认后，该附件简历将直接发送至对方邮箱\n取消确定\n麻烦发下简历\n请求交换电话已发送\n对方已查看您的附件简历\n工作内容主要负责公司后台数据，客户主动提交的贷款申请是否符合要求，符合的联系办理，没有通时通量要求\n工作内容感兴趣吗\n可以\n19196046480\n张女士的手机号\n19196046480\n复制手机号\n高底薪：大专5000（无责底薪4000+800全勤+200话补）、本科6000（无责底薪5000+800全勤+200话补）+高提成（15-40% +带单奖金+奖金（3K-30K），以及其他福利\n薪资待遇可以接受吗	你好\n我想要一份您的附件简历，您是否同意\n拒绝同意\n确定向 Boss 发送简历吗？\nBoss确认后，该附件简历将直接发送至对方邮箱\n取消确定\n麻烦发下简历\n工作内容主要负责公司后台数据，客户主动提交的贷款申请是否符合要求，符合的联系办理，没有通时通量要求\n工作内容感兴趣吗\n高底薪：大专5000（无责底薪4000+800全勤+200话补）、本科6000（无责底薪5000+800全勤+200话补）+高提成（15-40% +带单奖金+奖金（3K-30K），以及其他福利\n薪资待遇可以接受吗\n	19196046480.0
金融贷款专员	罗女士	成都	成都亿融鼎信商务...	https://www.zhipin.com/job_detail/da98788fb6b35c861HB72Ni0ElJR.html?lid=8Z9W4Yzxbs4.search.571&securityId=JtnxGkFeEfhPw-w1P3Iilv_F3q7lNzrUCW8P3hfVgB6rSMz9n-z7lVp6ekl3_zuht-a11EwXK7A7snXQA591XRMcplRCCck98Lndsl_22icTtA-xIAUL32eW57sUnJn8cCIduHCS2TcNcPP7DnS4hslexABQkujQTWnl1isacCudt2t0uA~~	1.0	1.0	您好，可以聊聊吗？您这个职位我很有兴趣，希望进一步了解\n你与该职位竞争者PK情况\n共人投递，你超过竞争者\n优秀竞争者会，建议你\n查看详细分析\n[挥手] 你好啊，可以聊一聊~\n您是否接受此工作地点?\n成都武侯区丰德国际广场A3座三单元八楼\n暂不考虑可以接受\n距离合适吗\n09-11 15:38\n工作地点我可以接受。\n请求交换电话已发送\n09-11 16:22\n18398204129\n罗女士的手机号\n18398204129\n复制手机号	[挥手] 你好啊，可以聊一聊~\n距离合适吗\n	18398204129.0
1w贷款客服+双休不加班+地铁口	吴先生	成都	成都中恒同富商务...	https://www.zhipin.com/job_detail/5b0d632d9cfc07c41HNy2NS1FFFV.html?lid=8Z9W4Yzxbs4.search.581&securityId=hrbmP3SS0pFGh-81s8gGG3Q5MuQ3r0xbBwCK8djscTTDZ791T5I9zGj_UcWMRoBrEgIPWEaRqfrChhIrwFpvmm7z7fAYxQp-gAdqqoCh7_O-k_-dNR0Nh1oV-sP2NyEEgrtiX-51ewaFIDJMZ0YBjql2na8k7GX7F0gcBqCDZohaBakETg~~	1.0	1.0	您好，可以聊聊吗？您这个职位我很有兴趣，希望进一步了解\n你与该职位竞争者PK情况\n共人投递，你超过竞争者\n优秀竞争者会，建议你\n查看详细分析\n你好，还在招人的哈，你之前做什么工作的呢？\n我想要一份您的附件简历，您是否同意\n拒绝同意\n确定向 Boss 发送简历吗？\nBoss确认后，该附件简历将直接发送至对方邮箱\n取消确定\n请求交换电话已发送\n13540480637\n吴先生的手机号\n13540480637\n复制手机号\n对方已查看您的附件简历\n你好 可以的啊\n你现在离职了没\n09-11 16:08\n？？？	你好，还在招人的哈，你之前做什么工作的呢？\n我想要一份您的附件简历，您是否同意\n拒绝同意\n确定向 Boss 发送简历吗？\nBoss确认后，该附件简历将直接发送至对方邮箱\n取消确定\n你好 可以的啊\n你现在离职了没\n？？？\n	13540480637.0
正规中介贷款顾问+真实无责6000+提成+社保	覃悦	成都	成都融冠冠融信息科技	https://www.zhipin.com/job_detail/6fa1ae85d18efaaa1Hx-29--GVtT.html?lid=8Z9W4Yzxbs4.search.591&securityId=XCjOVi7P4J3Cj-r1JSiGxQVtiz3Ktd1YNg_h5NFQutF39Su9h-uKsOaaEd_RCV1S2XmUZfBz0iphRVmRf830qWxJuSWnvUh-u2wFmZnqeXE_3I6UmjuG41pb_0GDtHt9JZJLmZqxOW39Og~~	1.0	1.0			
金融贷款客户经理	黎家晏	成都	平安普惠	https://www.zhipin.com/job_detail/49e3ee2da658e6d21HR_09q9F1RV.html?lid=8Z9W4Yzxbs4.search.601&securityId=Y9Usih4k28YHf-Y1WuYjW2hxKSJca5VghW36WOVXbuZoTX516zWw56qfvvFPsaQcp-48w8eC8ornTQGkwA2SkfcdsAcxVn5mOzLOFQtqeaErVqjGAnAfGTvCzKWOk3AZWiTE5jRK0zWg	1.0	1.0	开场问题，期待你的回答\n此问题由Boss设置并自动下发，可在Boss直聘手机app：我的-其他功能-开场问答中管理您的回答-设置-消息回复语中进行管理\n你怎样看待工作与生活的平衡？\n立即回答\n开场问题，期待你的回答\n​\n你与该职位竞争者PK情况\n共人投递，你超过竞争者\n优秀竞争者会，建议你\n查看详细分析\n您好，可以聊聊吗？您这个职位我很有兴趣，希望进一步了解\n09-11 15:18\nBoss还没查看你的消息？\n设置后Boss上线优先查看你的消息\n1311万求职者使用后得到反馈\n设置优先提醒Boss\n确定向 Boss 发送简历吗？\nBoss确认后，该附件简历将直接发送至对方邮箱\n取消确定\n09-11 15:37\n[挥手] 你好啊，可以聊一聊~\n请求交换电话已发送\n15928068815\n黎家晏的手机号\n15928068815\n复制手机号\n昨天 09:33\n你的号码加不上	开场问题，期待你的回答\n此问题由Boss设置并自动下发，可在Boss直聘手机app：我的-其他功能-开场问答中管理您的回答-设置-消息回复语中进行管理\n你怎样看待工作与生活的平衡？\n立即回答\n开场问题，期待你的回答\n​\n[挥手] 你好啊，可以聊一聊~\n你的号码加不上\n	15928068815.0
贷款专员！不打电话不约面！公司提供客户！	陈女士	成都	誉和金服	https://www.zhipin.com/job_detail/db31eb2259805f3d1HZ83tS8FVVX.html?lid=8Z9W4Yzxbs4.search.611&securityId=DB49_yDInV-lg-y17jjXzF7dAaXtVEIW9_l0iH6Vrhjdz1nFNHWpX_dDYQO2j38skYMjOBWDHgjnINK3wogYAJdarFhcRTrtklojuVhNpTdV0tcGPKZWrMtkRdZsRE2Bp_yxu2JlRzvl	1.0	1.0	开场问题，期待你的回答\n此问题由Boss设置并自动下发，可在Boss直聘手机app：我的-其他功能-开场问答中管理您的回答-设置-消息回复语中进行管理\n有经济压力吗？赚钱的欲望强烈不\n立即回答\n开场问题，期待你的回答\n​\n你与该职位竞争者PK情况\n共人投递，你超过竞争者\n优秀竞争者会，建议你\n查看详细分析\n您好，可以聊聊吗？您这个职位我很有兴趣，希望进一步了解\n好的\n贷款中介（赚个服务费），公司提供意向客户，你负责和他们线上聊，然后转化线上签单。提成50%通提。能赚钱，80%员工月入上万，不压工资，转正前干满30天就发工资，转正后两周发一次工资有社保补贴。公司合法合规，老员工居多很多内推的。没经验有带教，真心想赚钱的可以详聊。公司没有加班文化，可提前下班。春节15天，最后补充一句老板业务一直一手抓，公司业务板块一直是盈利状态。\n请求交换电话已发送\n15908403671\n陈女士的手机号\n15908403671\n复制手机号	开场问题，期待你的回答\n此问题由Boss设置并自动下发，可在Boss直聘手机app：我的-其他功能-开场问答中管理您的回答-设置-消息回复语中进行管理\n有经济压力吗？赚钱的欲望强烈不\n立即回答\n开场问题，期待你的回答\n​\n好的\n贷款中介（赚个服务费），公司提供意向客户，你负责和他们线上聊，然后转化线上签单。提成50%通提。能赚钱，80%员工月入上万，不压工资，转正前干满30天就发工资，转正后两周发一次工资有社保补贴。公司合法合规，老员工居多很多内推的。没经验有带教，真心想赚钱的可以详聊。公司没有加班文化，可提前下班。春节15天，最后补充一句老板业务一直一手抓，公司业务板块一直是盈利状态。\n	15908403671.0
~月入3w正规银行贷款销售+高提成双休	张女士	成都	快易众鑫	https://www.zhipin.com/job_detail/33c785cdf842791b1HN92d27EVZY.html?lid=8Z9W4Yzxbs4.search.621&securityId=vVvSSRZXJyyFv-w1sT9as2Ya5SFm9FF6DojyBn-EjhW4CSw_QkW7ILPxfeKvK91Pw_dCZ2oDVUpn-PqsMs2CfymwK4D2bUIhA8NOs5FoqzMIzljha63M_5uBlxtcjCjbdVEutglrAZTCWRh2GOn5exPflKzop4utgrziU7UTFfBHrMy2QA~~	1.0	1.0	您好，可以聊聊吗？您这个职位我很有兴趣，希望进一步了解\n你好，方便发一份你的简历过来吗？\n我想要一份您的附件简历，您是否同意\n拒绝同意\n确定向 Boss 发送简历吗？\nBoss确认后，该附件简历将直接发送至对方邮箱\n取消确定\n可以看看我的简历哈，合适的话可以聊聊~\n对方已查看您的附件简历\n咱们这个岗位是助贷销售，工作模式是电销➕面销，工作内容：通过公司提供的精准资源与客户进行有效沟通了解客户需求，邀约客户上门，审核客户资质，并为客户匹配相应的银行产品，解决客户的资金问题。工作内容可以接受吗？\n请求交换电话已发送\n工作内容可以接受吗？	你好，方便发一份你的简历过来吗？\n我想要一份您的附件简历，您是否同意\n拒绝同意\n确定向 Boss 发送简历吗？\nBoss确认后，该附件简历将直接发送至对方邮箱\n取消确定\n咱们这个岗位是助贷销售，工作模式是电销➕面销，工作内容：通过公司提供的精准资源与客户进行有效沟通了解客户需求，邀约客户上门，审核客户资质，并为客户匹配相应的银行产品，解决客户的资金问题。工作内容可以接受吗？\n工作内容可以接受吗？\n	
无责4200贷款专员	刘先生	成都	志鑫融	https://www.zhipin.com/job_detail/3f4b5b36e0bc9fc81Hx43d65F1NX.html?lid=8Z9W4Yzxbs4.search.631&securityId=NkVK7iztvd8oC-B1KYEP5M6ebu3Uf5ls52O58ypZOlkvAJlBK1x4gRxcayTmN5ZBKTZsiRyfWOuHBVZU1NK8R8Vkdkk5RrFjeYxN9GBy57u-Ipq1TCblBJA69p3ukdmNms_Kbrc5a5GOiRSAHZGRzYWJqWfLuzjJlkkO6W41Jx5EkHnj	1.0	1.0			
